category,class_CD,class_CF,class_CG,class_GA,classification,common_name_english_CM_doc,country,scientific_name_CD_final,scientific_name_CM_final,scientific_name_label,source_document
LC,placeholder,placeholder,placeholder,placeholder,B,African fatty tail Gecko,CM,,Hemitheconyx caudicinctus,Match,0053 français-1
EN,placeholder,placeholder,placeholder,placeholder,B,Aboreal Gecko,CM,,Urocotyledon weileri,Match,0053 français-1
DD,placeholder,placeholder,placeholder,placeholder,B,Palm dwelling Gecko,CM,,Urocotyledon palmata,Typo,0053 français-1
LC,placeholder,placeholder,placeholder,placeholder,B,,CM,,Broadleysaurus major,Re-classified,0053 français-1
CR,Annex 2,placeholder,placeholder,placeholder,B,Kinixys,CM,,Kinixys homeana,Match,0053 français-1
DD,Annex 2,placeholder,placeholder,placeholder,B,Common tortoise,CM,,Kinixys erosa,Match,0053 français-1
LC,placeholder,placeholder,placeholder,placeholder,B,Stone lygodactyle,CM,,Lygodactylus gutturalis,Typo,0053 français-1
LC,Annex 2,placeholder,placeholder,placeholder,B,African burrowing python,CM,,Calabaria reinhardtii,Typo,0053 français-1
NT,Annex 2,B,Annex 2A,Annex 2,B,African python,CM,,Python sebae,Refined from subspecies,0053 français-1
LC,Annex 2,B,placeholder,placeholder,B,Royal python,CM,,Python regius,Match,0053 français-1
DD,placeholder,placeholder,placeholder,placeholder,B,African snake eyed skink,CM,,Panaspis duruarum,Re-classified,0053 français-1
NT,placeholder,placeholder,placeholder,placeholder,B,Striped skink,CM,,Leptosiaphos vigintiserierum,Typo,0053 français-1
VU,placeholder,placeholder,placeholder,placeholder,B,Amiet skink,CM,,Leptosiaphos amieti,Typo,0053 français-1
NT,placeholder,placeholder,placeholder,placeholder,B,Chris wild skink,CM,,Lacertaspis chriswildi,Match,0053 français-1
DD,placeholder,placeholder,placeholder,placeholder,B,Fuhn skink,CM,,Leptosiaphos fuhni,Typo,0053 français-1
DD,placeholder,placeholder,placeholder,placeholder,B,Koutou skink,CM,,Leptosiaphos koutoui,Typo,0053 français-1
EN,placeholder,placeholder,placeholder,placeholder,B,Paulian skink,CM,,Leptosiaphos pauliani,Typo,0053 français-1
VU,placeholder,placeholder,placeholder,placeholder,B,Yellow and purple skink,CM,,Leptosiaphos ianthinoxantha,Typo,0053 français-1
,placeholder,placeholder,placeholder,placeholder,B,Bell's hinged tortoise,CM,,,Unknown entry,0053 français-1
VU,placeholder,placeholder,placeholder,placeholder,B,Senegal turtule,CM,,Cyclanorbis senegalensis,Match,0053 français-1
CR,placeholder,placeholder,placeholder,placeholder,B,Elegant turtule,CM,,Cyclanorbis elegans,Match,0053 français-1
LC,Annex 2,A,placeholder,placeholder,B,African savanna monitor,CM,,Varanus exanthematicus,Match,0053 français-1
LC,Annex 2,A,placeholder,Annex 2,B,African small-grain lizard,CM,,Varanus niloticus,Match,0053 français-1
EN,placeholder,placeholder,placeholder,placeholder,B,Buea Small-tongue Toad,CM,,Werneria preussi,Match,0053 français-1
CR,placeholder,placeholder,placeholder,placeholder,B,Mertens Small-tongue Toad,CM,,Werneria mertensiana,Match,0053 français-1
EN,placeholder,placeholder,placeholder,placeholder,B,Submountain Small-tongue Toad,CM,,Werneria submontana,Match,0053 français-1
CR,placeholder,placeholder,placeholder,placeholder,B,Tandyi Small-tongue Toad,CM,,Werneria tandyi,Match,0053 français-1
CR,placeholder,placeholder,placeholder,placeholder,B,Bamboutos Small-tongue Toad,CM,,Werneria bambutensis,Match,0053 français-1
VU,placeholder,placeholder,placeholder,placeholder,B,Four-digit Toad,CM,,Didynamipus sjostedti,Match,0053 français-1
VU,placeholder,placeholder,placeholder,placeholder,B,Villier's Toad,CM,,Sclerophrys villiersi,Re-classified,0053 français-1
EN,placeholder,placeholder,placeholder,placeholder,B,Highland Long-fingered frog,CM,,Cardioglossa venusta,Match,0053 français-1
CR,placeholder,placeholder,placeholder,placeholder,B,Puddle Frog,CM,,Phrynobatrachus chukuchuku,Match,0053 français-1
VU,placeholder,placeholder,placeholder,placeholder,B,White-lipped Frog,CM,,Amnirana asperrima,Re-classified,0053 français-1
EN,placeholder,placeholder,placeholder,placeholder,B,Perret's Squeaker Frog,CM,,Arthroleptis perreti,Match,0053 français-1
CR,placeholder,placeholder,placeholder,placeholder,B,Nganha's Night frog,CM,,Astylosternus nganhanus,Match,0053 français-1
EN,placeholder,placeholder,placeholder,placeholder,B,Mertens' Egg Frog,CM,,Leptodactylodon mertensi,Match,0053 français-1
EN,placeholder,placeholder,placeholder,placeholder,B,Perret's Egg Frog,CM,,Leptodactylodon perreti,Match,0053 français-1
CR,placeholder,placeholder,placeholder,placeholder,B,Wlid Egg frog,CM,,Leptodactylodon wildi,Match,0053 français-1
EN,placeholder,placeholder,placeholder,placeholder,B,Ornate Egg Frog,CM,,Leptodactylodon ornatus,Match,0053 français-1
EN,placeholder,placeholder,placeholder,placeholder,B,Rocky River Frog,CM,,Petropedetes juliawurstnerae,Match,0053 français-1
EN,placeholder,placeholder,placeholder,placeholder,B,Rocky River Frog,CM,,Petropedetes euskircheni,Match,0053 français-1
EN,placeholder,placeholder,placeholder,placeholder,B,Reed frog,CM,,Arlequinus krebsi,Match,0053 français-1
VU,placeholder,placeholder,placeholder,placeholder,B,Rocky River Frog,CM,,Petropedetes palmipes,Match,0053 français-1
CR,placeholder,placeholder,placeholder,placeholder,B,Rocky River Frog,CM,,Petropedetes perreti,Match,0053 français-1
LC,placeholder,placeholder,placeholder,placeholder,B,Rocky River Frog,CM,,Petropedetes vulpiae,Typo,0053 français-1
EN,,,,,Annex 1,,CD,Pan troglodytes ssp. schweinfurthii,,Additional species or subspecies extant in country,DRC_protected_species.pdf
EN,,,,,Annex 1,,CD,Pan paniscus,,Typo,DRC_protected_species.pdf
EN,,,,,Annex 1,,CD,Gorilla beringei ssp. beringei,,Typo,DRC_protected_species.pdf
CR,,,,,Annex 1,,CD,Gorilla beringei ssp. graueri,,Typo,DRC_protected_species.pdf
VU,,,,,Annex 1,,CD,Colobus angolensis ssp. angolensis,,Refined to subspecies,DRC_protected_species.pdf
VU,,,,,Annex 1,,CD,Colobus angolensis ssp. cordieri,,Additional species or subspecies extant in country,DRC_protected_species.pdf
VU,,,,,Annex 1,,CD,Colobus angolensis ssp. cottoni,,Additional species or subspecies extant in country,DRC_protected_species.pdf
EN,,,,,Annex 1,,CD,Colobus angolensis ssp. prigoginei,,Additional species or subspecies extant in country,DRC_protected_species.pdf
DD,,,,,Annex 1,,CD,Colobus angolensis ssp. ruwenzorii,,Additional species or subspecies extant in country,DRC_protected_species.pdf
EN,,,,,Annex 1,,CD,Piliocolobus badius,,Not extant in country && Re-classified,DRC_protected_species.pdf
EN,,,,,Annex 1,,CD,Piliocolobus parmentieri,,Additional species or subspecies extant in country,DRC_protected_species.pdf
EN,,,,,Annex 1,,CD,Piliocolobus foai,,Additional species or subspecies extant in country,DRC_protected_species.pdf
EN,,,,,Annex 1,,CD,Piliocolobus langi,,Additional species or subspecies extant in country,DRC_protected_species.pdf
EN,,,,,Annex 1,,CD,Piliocolobus tephrosceles,,Additional species or subspecies extant in country,DRC_protected_species.pdf
VU,,,,,Annex 1,,CD,Piliocolobus tholloni,,Additional species or subspecies extant in country,DRC_protected_species.pdf
EN,,,,,Annex 1,,CD,Piliocolobus lulindicus,,Additional species or subspecies extant in country,DRC_protected_species.pdf
VU,,,,,Annex 1,,CD,Piliocolobus semlikiensis,,Additional species or subspecies extant in country,DRC_protected_species.pdf
VU,,,,,Annex 1,,CD,Piliocolobus oustaleti,,Additional species or subspecies extant in country,DRC_protected_species.pdf
LC,,,,,Annex 1,,CD,Colobus guereza ssp. occidentalis,,Refined to subspecies,DRC_protected_species.pdf
VU,,,,,Annex 1,,CD,Cercopithecus hamlyni,,Match,DRC_protected_species.pdf
VU,,,,,Annex 1,,CD,Cercopithecus mitis ssp. mitis,,Not extant in country && Typo,DRC_protected_species.pdf
EN,,,,,Annex 1,,CD,Cercopithecus mitis ssp. kandtii,,Typo,DRC_protected_species.pdf
CR,,,,,Annex 1,,CD,Ceratotherium simum ssp. cottoni,,Refined to subspecies,DRC_protected_species.pdf
CR,,,,,Annex 1,,CD,Diceros bicornis ssp. minor,,Extinct in country,DRC_protected_species.pdf
LC,,,,,Annex 1,,CD,Rhynchocyon cirnei,,Match,DRC_protected_species.pdf
NT,,,,,Annex 1,,CD,Equus quagga,,Re-classified,DRC_protected_species.pdf
EN,,,,,Annex 1,,CD,Okapia johnstoni,,Match,DRC_protected_species.pdf
LC,,,,,Annex 1,,CD,Aepyceros melampus,,Not extant in country,DRC_protected_species.pdf
LC,,,,,Annex 1,,CD,Tragelaphus strepsiceros,,Match,DRC_protected_species.pdf
LC,,,,,Annex 1,,CD,Oreotragus oreotragus,,Match,DRC_protected_species.pdf
LC,,,,,Annex 1,,CD,Tragelaphus oryx,,Re-classified,DRC_protected_species.pdf
LC,,,,,Annex 1,,CD,Hippotragus niger,,Match,DRC_protected_species.pdf
CR,,,,,Annex 1,,CD,Kobus leche ssp. anselli,,Re-classified && Refined to subspecies,DRC_protected_species.pdf
NT,,,,,Annex 1,,CD,Crocidura kivuana,,Match,DRC_protected_species.pdf
VU,,,,,Annex 1,,CD,Crocidura lanosa,,Match,DRC_protected_species.pdf
EN,,,,,Annex 1,,CD,Crocidura stenocephala,,Typo,DRC_protected_species.pdf
EN,,,,,Annex 1,,CD,Crocidura tarella,,Typo,DRC_protected_species.pdf
VU,,,,,Annex 1,,CD,Ruwenzorisorex suncoides,,Match,DRC_protected_species.pdf
EN,,,,,Annex 1,,CD,Myosorex blarina,,Typo,DRC_protected_species.pdf
LC,,,,,Annex 1,,CD,Micropotamogale ruwenzorii,,Typo,DRC_protected_species.pdf
LC,,,,,Annex 1,,CD,Procavia capensis,,Match,DRC_protected_species.pdf
LC,,,,,Annex 1,,CD,Heterohyrax brucei,,Re-classified,DRC_protected_species.pdf
DD,,,,,Annex 1,,CD,Chaerephon gallagheri,,Match,DRC_protected_species.pdf
LC,,,,,Annex 1,,CD,Glauconycteris superba,,Re-classified,DRC_protected_species.pdf
DD,,,,,Annex 1,,CD,Myotis morrisi,,Not extant in country,DRC_protected_species.pdf
NT,,,,,Annex 1,,CD,Genetta piscivora,,Re-classified,DRC_protected_species.pdf
EN,,,,,Annex 1,,CD,Oxyura maccoa,,Match,DRC_protected_species.pdf
NT,,,,,Annex 1,,CD,Afropavo congensis,,Typo,DRC_protected_species.pdf
NT,,,,,Annex 1,,CD,Glaucidium albertinum,,Match,DRC_protected_species.pdf
EN,,,,,Annex 1,,CD,Phodilus prigoginei,,Match,DRC_protected_species.pdf
VU,,,,,Annex 1,,CD,Pseudocalyptomena graueri,,Match,DRC_protected_species.pdf
DD,,,,,Annex 1,,CD,Pseudochelidon eurystomina,,Match,DRC_protected_species.pdf
VU,,,,,Annex 1,,CD,Prionops alberti,,Match,DRC_protected_species.pdf
VU,,,,,Annex 1,,CD,Bugeranus carunculatus,,Match,DRC_protected_species.pdf
VU,,,,,Annex 1,,CD,Caecobarbus geertsii,,Match,DRC_protected_species.pdf
EN,,,,,Annex 2,,CD,Chlorocebus dryas,,Re-classified,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Cercopithecus ascanius,,Match,DRC_protected_species.pdf
NT,,,,,Annex 2,,CD,Cercopithecus cephus ssp. cephodes,,Refined to subspecies,DRC_protected_species.pdf
VU,,,,,Annex 2,,CD,Cercopithecus nictitans ssp. nictitans,,Refined to subspecies,DRC_protected_species.pdf
NT,,,,,Annex 2,,CD,Cercopithecus pogonias ssp. nigripes,,Refined to subspecies,DRC_protected_species.pdf
NT,,,,,Annex 2,,CD,Cercopithecus wolfi ssp. wolfi,,Refined to subspecies,DRC_protected_species.pdf
NT,,,,,Annex 2,,CD,Cercopithecus wolfi ssp. pyrogaster,,Additional species or subspecies extant in country,DRC_protected_species.pdf
VU,,,,,Annex 2,,CD,Cercopithecus wolfi ssp. elegans,,Additional species or subspecies extant in country,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Allenopithecus nigroviridis,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Chlorocebus aethiops,,Not extant in country && Typo,DRC_protected_species.pdf
VU,,,,,Annex 2,,CD,Erythrocebus patas ssp. pyrrhonotus,,Refined to subspecies,DRC_protected_species.pdf
NT,,,,,Annex 2,,CD,Lophocebus albigena ssp. johnstoni,,Refined to subspecies,DRC_protected_species.pdf
VU,,,,,Annex 2,,CD,Miopithecus talapoin,,Typo,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Galago matschiei,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Galago moholi,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Galagoides demidoff,,Re-classified,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Otolemur crassicaudatus,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Arctocebus aureus,,Incomplete entry,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Tragelaphus scriptus,,Match,DRC_protected_species.pdf
EN,,,,,Annex 2,,CD,Kobus megaceros,,Not extant in country,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Kobus kob ssp. thomasi,,Additional species or subspecies extant in country,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Philantomba monticola,,Re-classified,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Redunca arundinum,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Damaliscus lunatus ssp. lunatus,,Refined to subspecies,DRC_protected_species.pdf
VU,,,,,Annex 2,,CD,Damaliscus lunatus ssp. superstes,,Extinct in country,DRC_protected_species.pdf
VU,,,,,Annex 2,,CD,Damaliscus lunatus ssp. jimela,,Refined to subspecies,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Alcelaphus buselaphus ssp. lichtensteinii,,Not extant in country,DRC_protected_species.pdf
EN,,,,,Annex 2,,CD,Alcelaphus buselaphus ssp. lelwel,,Refined to subspecies,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Ourebia ourebi,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Phacochoerus aethiopicus,,Not extant in country,DRC_protected_species.pdf
DD,,,,,Annex 2,,CD,Crocidura polia,,Match,DRC_protected_species.pdf
DD,,,,,Annex 2,,CD,Crocidura monax,,Not extant in country,DRC_protected_species.pdf
DD,,,,,Annex 2,,CD,Crocidura zimmeri,,Match,DRC_protected_species.pdf
DD,,,,,Annex 2,,CD,Crocidura planiceps,,Match,DRC_protected_species.pdf
DD,,,,,Annex 2,,CD,Sylvisorex oriundus,,Match,DRC_protected_species.pdf
DD,,,,,Annex 2,,CD,Congosorex polli,,Match,DRC_protected_species.pdf
DD,,,,,Annex 2,,CD,Myosorex schalleri,,Typo,DRC_protected_species.pdf
DD,,,,,Annex 2,,CD,Paracrocidura graueri,,Match,DRC_protected_species.pdf
DD,,,,,Annex 2,,CD,Mus callewaerti,,Match,DRC_protected_species.pdf
DD,,,,,Annex 2,,CD,Mus neavei,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Praomys minor,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Dendrohyrax arboreus,,Match,DRC_protected_species.pdf
DD,,,,,Annex 2,,CD,Mops niangarae,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Glauconycteris alboguttata,,Re-classified,DRC_protected_species.pdf
NT,,,,,Annex 2,,CD,Eidolon helvum,,Typo,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Hypsignathus monstrosus,,Typo,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Plerotes anchietae,,Typo,DRC_protected_species.pdf
NT,,,,,Annex 2,,CD,Aonyx congicus,,Match,DRC_protected_species.pdf
VU,,,,,Annex 2,,CD,Smutsia temminckii,,Re-classified,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Leptoptilos crumenifer,,Re-classified && Typo,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Ardea alba,,Re-classified,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Bubulcus ibis,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Threskiornis aethiopicus,,Typo,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Platalea leucorodia,,Typo,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Egretta ardesiaca,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Nisaetus cirrhatus,,Not extant in country && Re-classified,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Accipiter brevipes,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Accipiter minullus,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Accipiter rufiventris,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Accipiter tachiro,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Accipiter toussenelii,,Match,DRC_protected_species.pdf
EN,,,,,Annex 2,,CD,Torgos tracheliotos,,Incomplete entry,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Aquila verreauxii,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Buteo augur,,Match,DRC_protected_species.pdf
NT,,,,,Annex 2,,CD,Buteo oreophilus,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Circaetus cinereus,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Circaetus pectoralis,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Circus ranivorus,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Dryotriorchis spectabilis,,Match,DRC_protected_species.pdf
CR,,,,,Annex 2,,CD,Gyps bengalensis,,Not extant in country,DRC_protected_species.pdf
VU,,,,,Annex 2,,CD,Gyps coprotheres,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Gyps fulvus,,Not extant in country,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Milvus migrans,,Match,DRC_protected_species.pdf
NT,,,,,Annex 2,,CD,Falco chicquera,,Not extant in country,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Falco dickinsoni,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Asio abyssinicus,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Glaucidium castaneum,,Typo,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Ptilopsis granti,,Re-classified,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Caprimulgus pectoralis,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Caprimulgus climacurus,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Caprimulgus inornatus,,Typo,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Caprimulgus fossii,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Caprimulgus poliocephalus,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Caprimulgus tristigma,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Corythornis cristatus,,Re-classified && Typo,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Buphagus africanus,,Typo,DRC_protected_species.pdf
VU,,,,,Annex 2,,CD,Bucorvus leadbeateri,,Re-classified,DRC_protected_species.pdf
EN,,,,,Annex 2,,CD,Balearica regulorum,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Poicephalus fuscicollis,,Re-classified,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Tauraco schalowi,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Tauraco schuettii,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Stigmochelys pardalis,,Re-classified,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Kinixys belliana,,Unknown entry,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Kinyongia adolfifriderici,,Re-classified,DRC_protected_species.pdf
NT,,,,,Annex 2,,CD,Kinyongia carpenteri,,Re-classified,DRC_protected_species.pdf
NT,,,,,Annex 2,,CD,Kinyongia xenorhina,,Re-classified,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Chamaeleo anchietae,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Trioceros bitaeniatus,,Re-classified,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Trioceros chapini,,Re-classified,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Trioceros ellioti,,Re-classified,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Trioceros ituriensis,,Re-classified,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Trioceros johnstoni,,Re-classified,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Chamaeleo laevigatus,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Trioceros rudis,,Re-classified,DRC_protected_species.pdf
DD,,,,,Annex 2,,CD,Trioceros schoutedeni,,Re-classified,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Cordylus tropidosternum,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Varanus albigularis,,Match,DRC_protected_species.pdf
LC,,,,,Annex 2,,CD,Sclerophrys channingi,,Re-classified,DRC_protected_species.pdf
EN,,,,,Annex 2,,CD,Rhincodon typus,,Match,DRC_protected_species.pdf
VU,,,,,Annex 2,,CD,Carcharodon carcharias,,Not extant in country,DRC_protected_species.pdf
