scientific_name,subspecies,category,Common Name,Species Class,Threat Class
Merops hirundineus,,LC,Swallow-tailed Bee-eater,AVES,LC
Merops breweri,,LC,Black-headed Bee-eater,AVES,LC
Merops albicollis,,LC,White-throated Bee-eater,AVES,LC
Merops persicus,,LC,Blue-cheeked Bee-eater,AVES,LC
Merops apiaster,,LC,European Bee-eater,AVES,LC
Merops nubicus,,LC,Northern Carmine Bee-eater,AVES,LC
Colius striatus,,LC,Speckled Mousebird,AVES,LC
Clamator jacobinus,,LC,Jacobin Cuckoo,AVES,LC
Clamator levaillantii,,LC,Levaillant's Cuckoo,AVES,LC
Clamator glandarius,,LC,Great Spotted Cuckoo,AVES,LC
Pachycoccyx audeberti,,LC,Thick-billed Cuckoo,AVES,LC
Cuculus solitarius,,LC,Red-chested Cuckoo,AVES,LC
Cuculus clamosus,,LC,Black Cuckoo,AVES,LC
Cuculus canorus,,LC,Common Cuckoo,AVES,LC
Cuculus gularis,,LC,African Cuckoo,AVES,LC
Cercococcyx mechowi,,LC,Dusky Long-tailed Cuckoo,AVES,LC
Cercococcyx olivinus,,LC,Olive Long-tailed Cuckoo,AVES,LC
Chrysococcyx flavigularis,,LC,Yellow-throated Cuckoo,AVES,LC
Chrysococcyx klaas,,LC,Klaas's Cuckoo,AVES,LC
Chrysococcyx cupreus,,LC,African Emerald Cuckoo,AVES,LC
Chrysococcyx caprius,,LC,Diederik Cuckoo,AVES,LC
Centropus grillii,,LC,Black Coucal,AVES,LC
Centropus anselli,,LC,Gabon Coucal,AVES,LC
Centropus monachus,,LC,Blue-headed Coucal,AVES,LC
Centropus senegalensis,,LC,Senegal Coucal,AVES,LC
Poicephalus gulielmi,,LC,Red-fronted Parrot,AVES,LC
Poicephalus senegalus,,LC,Senegal Parrot,AVES,LC
Poicephalus crassus,,LC,Niam-niam Parrot,AVES,LC
Poicephalus meyeri,,LC,Brown Parrot,AVES,LC
Agapornis pullarius,,LC,Red-headed Lovebird,AVES,LC
Agapornis swindernianus,,LC,Black-collared Lovebird,AVES,LC
Psittacula krameri,,LC,Rose-ringed Parakeet,AVES,LC
Telacanthura ussheri,,LC,Mottled Spinetail,AVES,LC
Telacanthura melanopygia,,LC,Black Spinetail,AVES,LC
Rhaphidura sabini,,LC,Sabine's Spinetail,AVES,LC
Neafrapus cassini,,LC,Cassin's Spinetail,AVES,LC
Tachymarptis aequatorialis,,LC,Mottled Swift,AVES,LC
Apus apus,,LC,Common Swift,AVES,LC
Apus pallidus,,LC,Pallid Swift,AVES,LC
Apus affinis,,LC,Little Swift,AVES,LC
Apus caffer,,LC,White-rumped Swift,AVES,LC
Apus batesi,,LC,Bates's Swift,AVES,LC
Tauraco persa,,LC,Green Turaco,AVES,LC
Tauraco schuettii,,LC,Black-billed Turaco,AVES,LC
Tauraco leucolophus,,LC,White-crested Turaco,AVES,LC
Musophaga violacea,,LC,Violet Turaco,AVES,LC
Musophaga rossae,,LC,Ross's Turaco,AVES,LC
Crinifer piscator,,LC,Western Plantain-eater,AVES,LC
Crinifer zonurus,,LC,Eastern Plantain-eater,AVES,LC
Corythaeola cristata,,LC,Great Blue Turaco,AVES,LC
Tyto alba,,LC,Common Barn-owl,AVES,LC
Otus icterorhynchus,,LC,Sandy Scops-owl,AVES,LC
Bubo lacteus,,LC,Verreaux's Eagle-owl,AVES,LC
Bubo leucostictus,,LC,Akun Eagle-owl,AVES,LC
Scotopelia peli,,LC,Pel's Fishing-owl,AVES,LC
Scotopelia bouvieri,,LC,Vermiculated Fishing-owl,AVES,LC
Strix woodfordii,,LC,African Wood-owl,AVES,LC
Glaucidium perlatum,,LC,Pearl-spotted Owlet,AVES,LC
Glaucidium tephronotum,,LC,Red-chested Owlet,AVES,LC
Glaucidium sjostedti,,LC,Sjostedt's Owlet,AVES,LC
Glaucidium castaneum,,LC,Chestnut Owlet,AVES,LC
Veles binotatus,,LC,Brown Nightjar,AVES,LC
Caprimulgus inornatus,,LC,Plain Nightjar,AVES,LC
Caprimulgus tristigma,,LC,Freckled Nightjar,AVES,LC
Caprimulgus batesi,,LC,Bates's Nightjar,AVES,LC
Caprimulgus climacurus,,LC,Long-tailed Nightjar,AVES,LC
Caprimulgus longipennis,,LC,Standard-winged Nightjar,AVES,LC
Caprimulgus vexillarius,,LC,Pennant-winged Nightjar,AVES,LC
Columba guinea,,LC,Speckled Pigeon,AVES,LC
Columba unicincta,,LC,Afep Pigeon,AVES,LC
Columba iriditorques,,LC,Western Bronze-naped Pigeon,AVES,LC
Streptopelia turtur,,VU,European Turtle-dove,AVES,VU
Spilopelia senegalensis,,LC,Laughing Dove,AVES,LC
Streptopelia decipiens,,LC,Mourning Collared-dove,AVES,LC
Streptopelia vinacea,,LC,Vinaceous Dove,AVES,LC
Streptopelia semitorquata,,LC,Red-eyed Dove,AVES,LC
Turtur abyssinicus,,LC,Black-billed Wood-dove,AVES,LC
Turtur afer,,LC,Blue-spotted Wood-dove,AVES,LC
Turtur tympanistria,,LC,Tambourine Dove,AVES,LC
Turtur brehmeri,,LC,Blue-headed Wood-dove,AVES,LC
Oena capensis,,LC,Namaqua Dove,AVES,LC
Treron waalia,,LC,Bruce's Green-pigeon,AVES,LC
Neotis denhami,,NT,Denham's Bustard,AVES,NT
Ardeotis arabs,,NT,Arabian Bustard,AVES,NT
Eupodotis senegalensis,,LC,White-bellied Bustard,AVES,LC
Lissotis melanogaster,,LC,Black-bellied Bustard,AVES,LC
Balearica pavonina,,VU,Black Crowned Crane,AVES,VU
Podica senegalensis,,LC,African Finfoot,AVES,LC
Sarothrura pulchra,,LC,White-spotted Flufftail,AVES,LC
Sarothrura rufa,,LC,Red-chested Flufftail,AVES,LC
Himantornis haematopus,,LC,Nkulengu Rail,AVES,LC
Canirallus oculeus,,LC,Grey-throated Rail,AVES,LC
Crex egregia,,LC,African Crake,AVES,LC
Zapornia flavirostra,,LC,Black Crake,AVES,LC
Porphyrio porphyrio,,LC,Purple Swamphen,AVES,LC
Porphyrio alleni,,LC,Allen's Gallinule,AVES,LC
Paragallinula angulata,,LC,Lesser Moorhen,AVES,LC
Pterocles exustus,,LC,Chestnut-bellied Sandgrouse,AVES,LC
Pterocles quadricinctus,,LC,Four-banded Sandgrouse,AVES,LC
Gallinago media,,NT,Great Snipe,AVES,NT
Gallinago gallinago,,LC,Common Snipe,AVES,LC
Lymnocryptes minimus,,LC,Jack Snipe,AVES,LC
Limosa limosa,,NT,Black-tailed Godwit,AVES,NT
Numenius arquata,,NT,Eurasian Curlew,AVES,NT
Tringa totanus,,LC,Common Redshank,AVES,LC
Tringa stagnatilis,,LC,Marsh Sandpiper,AVES,LC
Tringa nebularia,,LC,Common Greenshank,AVES,LC
Tringa ochropus,,LC,Green Sandpiper,AVES,LC
Tringa glareola,,LC,Wood Sandpiper,AVES,LC
Actitis hypoleucos,,LC,Common Sandpiper,AVES,LC
Calidris alba,,LC,Sanderling,AVES,LC
Calidris minuta,,LC,Little Stint,AVES,LC
Calidris temminckii,,LC,Temminck's Stint,AVES,LC
Calidris ferruginea,,NT,Curlew Sandpiper,AVES,NT
Calidris pugnax,,LC,Ruff,AVES,LC
Actophilornis africanus,,LC,African Jacana,AVES,LC
Microparra capensis,,LC,Lesser Jacana,AVES,LC
Burhinus senegalensis,,LC,Senegal Thick-knee,AVES,LC
Burhinus vermiculatus,,LC,Water Thick-knee,AVES,LC
Burhinus capensis,,LC,Spotted Thick-knee,AVES,LC
Recurvirostra avosetta,,LC,Pied Avocet,AVES,LC
Charadrius hiaticula,,LC,Common Ringed Plover,AVES,LC
Charadrius dubius,,LC,Little Ringed Plover,AVES,LC
Charadrius pecuarius,,LC,Kittlitz's Plover,AVES,LC
Charadrius forbesi,,LC,Forbes's Plover,AVES,LC
Charadrius marginatus,,LC,White-fronted Plover,AVES,LC
Vanellus spinosus,,LC,Spur-winged Lapwing,AVES,LC
Vanellus tectus,,LC,Black-headed Lapwing,AVES,LC
Vanellus albiceps,,LC,White-headed Lapwing,AVES,LC
Vanellus senegallus,,LC,Wattled Lapwing,AVES,LC
Vanellus superciliosus,,LC,Brown-chested Lapwing,AVES,LC
Vanellus gregarius,,CR,Sociable Lapwing,AVES,CR
Pluvianus aegyptius,,LC,Egyptian Plover,AVES,LC
Rhinoptilus chalcopterus,,LC,Bronze-winged Courser,AVES,LC
Cursorius temminckii,,LC,Temminck's Courser,AVES,LC
Glareola pratincola,,LC,Collared Pratincole,AVES,LC
Glareola nordmanni,,NT,Black-winged Pratincole,AVES,NT
Glareola nuchalis,,LC,Rock Pratincole,AVES,LC
Glareola cinerea,,LC,Grey Pratincole,AVES,LC
Rynchops flavirostris,,NT,African Skimmer,AVES,NT
Larus fuscus,,LC,Lesser Black-backed Gull,AVES,LC
Larus cirrocephalus,,LC,Grey-headed Gull,AVES,LC
Hydroprogne caspia,,LC,Caspian Tern,AVES,LC
Sterna paradisaea,,LC,Arctic Tern,AVES,LC
Chlidonias hybrida,,LC,Whiskered Tern,AVES,LC
Chlidonias leucopterus,,LC,White-winged Tern,AVES,LC
Pandion haliaetus,,LC,Osprey,AVES,LC
Aviceda cuculoides,,LC,African Cuckoo-hawk,AVES,LC
Pernis apivorus,,LC,European Honey-buzzard,AVES,LC
Macheiramphus alcinus,,LC,Bat Hawk,AVES,LC
Elanus caeruleus,,LC,Black-winged Kite,AVES,LC
Chelictinia riocourii,,LC,Scissor-tailed Kite,AVES,LC
Haliaeetus vocifer,,LC,African Fish-eagle,AVES,LC
Gypohierax angolensis,,LC,Palm-nut Vulture,AVES,LC
Neophron percnopterus,,EN,Egyptian Vulture,AVES,EN
Necrosyrtes monachus,,CR,Hooded Vulture,AVES,CR
Gyps africanus,,CR,White-backed Vulture,AVES,CR
Gyps rueppelli,,CR,Rüppell's Vulture,AVES,CR
Torgos tracheliotos,,EN,Lappet-faced Vulture,AVES,EN
Trigonoceps occipitalis,,CR,White-headed Vulture,AVES,CR
Circaetus cinereus,,LC,Brown Snake-eagle,AVES,LC
Circaetus cinerascens,,LC,Western Banded Snake-eagle,AVES,LC
Terathopius ecaudatus,,NT,Bateleur,AVES,NT
Dryotriorchis spectabilis,,LC,Congo Serpent-eagle,AVES,LC
Circus aeruginosus,,LC,Western Marsh-harrier,AVES,LC
Circus ranivorus,,LC,African Marsh-harrier,AVES,LC
Circus macrourus,,NT,Pallid Harrier,AVES,NT
Circus pygargus,,LC,Montagu's Harrier,AVES,LC
Polyboroides typus,,LC,African Harrier-hawk,AVES,LC
Kaupifalco monogrammicus,,LC,Lizard Buzzard,AVES,LC
Melierax metabates,,LC,Dark Chanting-goshawk,AVES,LC
Micronisus gabar,,LC,Gabar Goshawk,AVES,LC
Accipiter castanilius,,LC,Chestnut-flanked Sparrowhawk,AVES,LC
Accipiter badius,,LC,Shikra,AVES,LC
Accipiter erythropus,,LC,Red-legged Sparrowhawk,AVES,LC
Accipiter ovampensis,,LC,Ovambo Sparrowhawk,AVES,LC
Accipiter melanoleucus,,LC,Black Sparrowhawk,AVES,LC
Urotriorchis macrourus,,LC,Long-tailed Hawk,AVES,LC
Butastur rufipennis,,LC,Grasshopper Buzzard,AVES,LC
Buteo auguralis,,LC,Red-necked Buzzard,AVES,LC
Aquila rapax,,VU,Tawny Eagle,AVES,VU
Aquila verreauxii,,LC,Verreaux's Eagle,AVES,LC
Hieraaetus wahlbergi,,LC,Wahlberg's Eagle,AVES,LC
Aquila spilogaster,,LC,African Hawk-eagle,AVES,LC
Hieraaetus pennatus,,LC,Booted Eagle,AVES,LC
Polemaetus bellicosus,,VU,Martial Eagle,AVES,VU
Lophaetus occipitalis,,LC,Long-crested Eagle,AVES,LC
Aquila africana,,LC,Cassin's Hawk-eagle,AVES,LC
Stephanoaetus coronatus,,NT,Crowned Eagle,AVES,NT
Sagittarius serpentarius,,VU,Secretarybird,AVES,VU
Falco naumanni,,LC,Lesser Kestrel,AVES,LC
Falco tinnunculus,,LC,Common Kestrel,AVES,LC
Falco alopex,,LC,Fox Kestrel,AVES,LC
Falco ardosiaceus,,LC,Grey Kestrel,AVES,LC
Falco vespertinus,,NT,Red-footed Falcon,AVES,NT
Falco cuvierii,,LC,African Hobby,AVES,LC
Falco biarmicus,,LC,Lanner Falcon,AVES,LC
Tachybaptus ruficollis,,LC,Little Grebe,AVES,LC
Anhinga rufa,,LC,African Darter,AVES,LC
Microcarbo africanus,,LC,Long-tailed Cormorant,AVES,LC
Ardea cinerea,,LC,Grey Heron,AVES,LC
Ardea melanocephala,,LC,Black-headed Heron,AVES,LC
Ardea goliath,,LC,Goliath Heron,AVES,LC
Ardea purpurea,,LC,Purple Heron,AVES,LC
Ardea alba,,LC,Great White Egret,AVES,LC
Bubulcus ibis,,LC,Cattle Egret,AVES,LC
Ardeola ralloides,,LC,Squacco Heron,AVES,LC
Nycticorax nycticorax,,LC,Black-crowned Night-heron,AVES,LC
Tigriornis leucolopha,,LC,White-crested Tiger-heron,AVES,LC
Ixobrychus sturmii,,LC,Dwarf Bittern,AVES,LC
Botaurus stellaris,,LC,Eurasian Bittern,AVES,LC
Scopus umbretta,,LC,Hamerkop,AVES,LC
Plegadis falcinellus,,LC,Glossy Ibis,AVES,LC
Bostrychia hagedash,,LC,Hadada Ibis,AVES,LC
Bostrychia rara,,LC,Spot-breasted Ibis,AVES,LC
Threskiornis aethiopicus,,LC,African Sacred Ibis,AVES,LC
Platalea alba,,LC,African Spoonbill,AVES,LC
Balaeniceps rex,,VU,Shoebill,AVES,VU
Pelecanus onocrotalus,,LC,Great White Pelican,AVES,LC
Pelecanus rufescens,,LC,Pink-backed Pelican,AVES,LC
Mycteria ibis,,LC,Yellow-billed Stork,AVES,LC
Anastomus lamelligerus,,LC,African Openbill,AVES,LC
Ciconia nigra,,LC,Black Stork,AVES,LC
Ciconia abdimii,,LC,Abdim's Stork,AVES,LC
Ciconia ciconia,,LC,White Stork,AVES,LC
Ephippiorhynchus senegalensis,,LC,Saddlebill,AVES,LC
Leptoptilos crumenifer,,LC,Marabou,AVES,LC
Pitta angolensis,,LC,African Pitta,AVES,LC
Pitta reichenowi,,LC,Green-breasted Pitta,AVES,LC
Smithornis capensis,,LC,African Broadbill,AVES,LC
Smithornis sharpei,,LC,Grey-headed Broadbill,AVES,LC
Smithornis rufolateralis,,LC,Rufous-sided Broadbill,AVES,LC
Lanius collurio,,LC,Red-backed Shrike,AVES,LC
Lanius gubernator,,LC,Emin's Shrike,AVES,LC
Lanius excubitoroides,,LC,Grey-backed Fiscal,AVES,LC
Lanius senator,,LC,Woodchat Shrike,AVES,LC
Lanius nubicus,,LC,Masked Shrike,AVES,LC
Corvinella corvina,,LC,Yellow-billed Shrike,AVES,LC
Ptilostomus afer,,LC,Piapiac,AVES,LC
Corvus rhipidurus,,LC,Fan-tailed Raven,AVES,LC
Oriolus auratus,,LC,African Golden Oriole,AVES,LC
Oriolus brachyrynchus,,LC,Western Black-headed Oriole,AVES,LC
Oriolus nigripennis,,LC,Black-winged Oriole,AVES,LC
Ceblepyris pectoralis,,LC,White-breasted Cuckooshrike,AVES,LC
Cyanograucalus azureus,,LC,Blue Cuckooshrike,AVES,LC
Campephaga phoenicea,,LC,Red-shouldered Cuckooshrike,AVES,LC
Campephaga quiscalina,,LC,Purple-throated Cuckooshrike,AVES,LC
Lobotos oriolinus,,DD,Eastern Wattled Cuckooshrike,AVES,DD
Dicrurus ludwigii,,LC,Square-tailed Drongo,AVES,LC
Dicrurus atripennis,,LC,Shining Drongo,AVES,LC
Erythrocercus mccallii,,LC,Chestnut-capped Flycatcher,AVES,LC
Elminia longicauda,,LC,African Blue-flycatcher,AVES,LC
Elminia nigromitrata,,LC,Dusky Crested-flycatcher,AVES,LC
Trochocercus nitens,,LC,Western Crested-flycatcher,AVES,LC
Terpsiphone viridis,,LC,African Paradise-flycatcher,AVES,LC
Nilaus afer,,LC,Brubru,AVES,LC
Dryoscopus gambensis,,LC,Northern Puffback,AVES,LC
Dryoscopus senegalensis,,LC,Red-eyed Puffback,AVES,LC
Dryoscopus sabini,,LC,Sabine's Puffback,AVES,LC
Bocagia minuta,,LC,Marsh Tchagra,AVES,LC
Tchagra senegalus,,LC,Black-crowned Tchagra,AVES,LC
Tchagra australis,,LC,Brown-crowned Tchagra,AVES,LC
Laniarius erythrogaster,,LC,Black-headed Gonolek,AVES,LC
Laniarius leucorhynchus,,LC,Lowland Sooty Boubou,AVES,LC
Chlorophoneus bocagei,,LC,Bocage's Bush-shrike,AVES,LC
Chlorophoneus sulfureopectus,,LC,Orange-breasted Bush-shrike,AVES,LC
Malaconotus cruentus,,LC,Fiery-breasted Bush-shrike,AVES,LC
Malaconotus blanchoti,,LC,Grey-headed Bush-shrike,AVES,LC
Prionops plumatus,,LC,White-crested Helmetshrike,AVES,LC
Prionops rufiventris,,LC,Rufous-bellied Helmetshrike,AVES,LC
Megabyas flammulatus,,LC,African Shrike-flycatcher,AVES,LC
Bias musicus,,LC,Black-and-white Shrike-flycatcher,AVES,LC
Batis orientalis,,LC,Grey-headed Batis,AVES,LC
Batis minima,,LC,Gabon Batis,AVES,LC
Batis occulta,,LC,West African Batis,AVES,LC
Platysteira cyanea,,LC,Brown-throated Wattle-eye,AVES,LC
Dyaphorophyia tonsa,,LC,White-spotted Wattle-eye,AVES,LC
Picathartes oreas,,VU,Grey-necked Rockfowl,AVES,VU
Neocossyphus rufus,,LC,Red-tailed Ant-thrush,AVES,LC
Neocossyphus poensis,,LC,White-tailed Ant-thrush,AVES,LC
Monticola saxatilis,,LC,Rufous-tailed Rock-thrush,AVES,LC
Turdus pelios,,LC,African Thrush,AVES,LC
Chamaetylas poliocephala,,LC,Brown-chested Alethe,AVES,LC
Alethe castanea,,LC,Fire-crested Alethe,AVES,LC
Agricola pallidus,,LC,Pale Flycatcher,AVES,LC
Melaenornis edolioides,,LC,Northern Black-flycatcher,AVES,LC
Fraseria ocreata,,LC,African Forest-flycatcher,AVES,LC
Fraseria cinerascens,,LC,White-browed Forest-flycatcher,AVES,LC
Muscicapa striata,,LC,Spotted Flycatcher,AVES,LC
Muscicapa gambagae,,LC,Gambaga Flycatcher,AVES,LC
Bradornis fuliginosus,,LC,Sooty Flycatcher,AVES,LC
Muscicapa aquatica,,LC,Swamp Flycatcher,AVES,LC
Fraseria olivascens,,LC,Olivaceous Flycatcher,AVES,LC
Muscicapa adusta,,LC,African Dusky Flycatcher,AVES,LC
Muscicapa epulata,,LC,Little Grey Flycatcher,AVES,LC
Muscicapa sethsmithi,,LC,Yellow-footed Flycatcher,AVES,LC
Bradornis comitatus,,LC,Dusky-blue Flycatcher,AVES,LC
Muscicapa cassini,,LC,Cassin's Flycatcher,AVES,LC
Fraseria caerulescens,,LC,Ashy Flycatcher,AVES,LC
Fraseria griseigularis,,LC,Grey-throated Tit-flycatcher,AVES,LC
Fraseria plumbea,,LC,Grey Tit-flycatcher,AVES,LC
Ficedula hypoleuca,,LC,European Pied Flycatcher,AVES,LC
Sheppardia cyornithopsis,,LC,Lowland Akalat,AVES,LC
Luscinia megarhynchos,,LC,Common Nightingale,AVES,LC
Cossypha cyanocampter,,LC,Blue-shouldered Robin-chat,AVES,LC
Sheppardia polioptera,,LC,Grey-winged Akalat,AVES,LC
Cossypha heuglini,,LC,White-browed Robin-chat,AVES,LC
Cossypha natalensis,,LC,Red-capped Robin-chat,AVES,LC
Cossypha niveicapilla,,LC,Snowy-crowned Robin-chat,AVES,LC
Cossypha albicapillus,,LC,White-crowned Robin-chat,AVES,LC
Cichladusa ruficauda,,LC,Rufous-tailed Palm-thrush,AVES,LC
Tychaedon leucosticta,,LC,Forest Scrub-robin,AVES,LC
Cercotrichas hartlaubi,,LC,Brown-backed Scrub-robin,AVES,LC
Cercotrichas galactotes,,LC,Rufous-tailed Scrub-robin,AVES,LC
Phoenicurus phoenicurus,,LC,Common Redstart,AVES,LC
Saxicola rubetra,,LC,Whinchat,AVES,LC
Oenanthe hispanica,,LC,Black-eared Wheatear,AVES,LC
Oenanthe heuglinii,,LC,Heuglin's Wheatear,AVES,LC
Oenanthe familiaris,,LC,Familiar Chat,AVES,LC
Myrmecocichla tholloni,,LC,Congo Moor-chat,AVES,LC
Myrmecocichla aethiops,,LC,Northern Anteater-chat,AVES,LC
Myrmecocichla nigra,,LC,Sooty Chat,AVES,LC
Oenanthe albifrons,,LC,White-fronted Black-chat,AVES,LC
Thamnolaea cinnamomeiventris,,LC,Mocking Cliff-chat,AVES,LC
Poeoptera lugubris,,LC,Narrow-tailed Starling,AVES,LC
Grafisia torquata,,LC,White-collared Starling,AVES,LC
Onychognathus fulgidus,,LC,Chestnut-winged Starling,AVES,LC
Hylopsar purpureiceps,,LC,Purple-headed Starling,AVES,LC
Lamprotornis purpureus,,LC,Purple Starling,AVES,LC
Lamprotornis chalcurus,,LC,Bronze-tailed Starling,AVES,LC
Lamprotornis splendidus,,LC,Splendid Starling,AVES,LC
Lamprotornis caudatus,,LC,Long-tailed Glossy Starling,AVES,LC
Cinnyricinclus leucogaster,,LC,Violet-backed Starling,AVES,LC
Buphagus africanus,,LC,Yellow-billed Oxpecker,AVES,LC
Anthoscopus parvulus,,LC,Yellow Penduline-tit,AVES,LC
Anthoscopus flavifrons,,LC,Forest Penduline-tit,AVES,LC
Pholidornis rushiae,,LC,Tit-hylia,AVES,LC
