scientific_name,subspecies,category,Common Name,Species Class,Threat Class
Melaniparus guineensis,,LC,Pale-eyed Black Tit,AVES,LC
Melaniparus funereus,,LC,Dusky Tit,AVES,LC
Pseudochelidon eurystomina,,DD,African River Martin,AVES,DD
Riparia congica,,LC,Congo Sand Martin,AVES,LC
Neophedina cincta,,LC,Banded Martin,AVES,LC
Pseudhirundo griseopyga,,LC,Grey-rumped Swallow,AVES,LC
Hirundo rustica,,LC,Barn Swallow,AVES,LC
Hirundo aethiopica,,LC,Ethiopian Swallow,AVES,LC
Hirundo smithii,,LC,Wire-tailed Swallow,AVES,LC
Hirundo nigrita,,LC,White-bibbed Swallow,AVES,LC
Cecropis abyssinica,,LC,Lesser Striped Swallow,AVES,LC
Cecropis semirufa,,LC,Rufous-chested Swallow,AVES,LC
Cecropis senegalensis,,LC,Mosque Swallow,AVES,LC
Petrochelidon preussi,,LC,Preuss's Swallow,AVES,LC
Psalidoprocne nitens,,LC,Square-tailed Saw-wing,AVES,LC
Psalidoprocne pristoptera,,LC,Black Saw-wing,AVES,LC
Pycnonotus barbatus,,LC,Common Bulbul,AVES,LC
Eurillas virens,,LC,Little Greenbul,AVES,LC
Eurillas gracilis,,LC,Grey Greenbul,AVES,LC
Eurillas ansorgei,,LC,Ansorge's Greenbul,AVES,LC
Eurillas curvirostris,,LC,Plain Greenbul,AVES,LC
Stelgidillas gracilirostris,,LC,Slender-billed Greenbul,AVES,LC
Eurillas latirostris,,LC,Yellow-whiskered Greenbul,AVES,LC
Calyptocichla serinus,,LC,Golden Greenbul,AVES,LC
Baeopogon indicator,,LC,Honeyguide Greenbul,AVES,LC
Baeopogon clamans,,LC,White-tailed Greenbul,AVES,LC
Ixonotus guttatus,,LC,Spotted Greenbul,AVES,LC
Chlorocichla simplex,,LC,Simple Greenbul,AVES,LC
Chlorocichla falkensteini,,LC,Falkenstein's Greenbul,AVES,LC
Thescelocichla leucopleura,,LC,Swamp Palm Bulbul,AVES,LC
Pyrrhurus scandens,,LC,Leaf-love,AVES,LC
Phyllastrephus xavieri,,LC,Xavier's Greenbul,AVES,LC
Bleda syndactylus,,LC,Red-tailed Bristlebill,AVES,LC
Nicator chloris,,LC,Western Nicator,AVES,LC
Nicator vireo,,LC,Yellow-throated Nicator,AVES,LC
Criniger chloronotus,,LC,Eastern Bearded Greenbul,AVES,LC
Criniger calurus,,LC,Red-tailed Greenbul,AVES,LC
Criniger ndussumensis,,LC,White-bearded Greenbul,AVES,LC
Cisticola erythrops,,LC,Red-faced Cisticola,AVES,LC
Cisticola cantans,,LC,Singing Cisticola,AVES,LC
Cisticola lateralis,,LC,Whistling Cisticola,AVES,LC
Cisticola anonymus,,LC,Chattering Cisticola,AVES,LC
Cisticola ruficeps,,LC,Red-pate Cisticola,AVES,LC
Cisticola natalensis,,LC,Croaking Cisticola,AVES,LC
Cisticola brachypterus,,LC,Short-winged Cisticola,AVES,LC
Cisticola rufus,,LC,Rufous Cisticola,AVES,LC
Cisticola troglodytes,,LC,Foxy Cisticola,AVES,LC
Cisticola juncidis,,LC,Zitting Cisticola,AVES,LC
Cisticola eximius,,LC,Black-backed Cisticola,AVES,LC
Prinia subflava,,LC,Tawny-flanked Prinia,AVES,LC
Schistolais leucopogon,,LC,White-chinned Prinia,AVES,LC
Prinia bairdii,,LC,Banded Prinia,AVES,LC
Prinia erythroptera,,LC,Red-winged Prinia,AVES,LC
Drymocichla incana,,LC,Red-winged Grey Warbler,AVES,LC
Apalis nigriceps,,LC,Black-capped Apalis,AVES,LC
Apalis jacksoni,,LC,Black-throated Apalis,AVES,LC
Apalis rufogularis,,LC,Buff-throated Apalis,AVES,LC
Apalis goslingi,,LC,Gosling's Apalis,AVES,LC
Hypergerus atriceps,,LC,Oriole Warbler,AVES,LC
Camaroptera superciliaris,,LC,Yellow-browed Camaroptera,AVES,LC
Zosterops senegalensis,,LC,African Yellow White-eye,AVES,LC
Bradypterus grandis,,NT,Dja River Swamp-warbler,AVES,NT
Bathmocercus rufus,,LC,Black-faced Rufous-warbler,AVES,LC
Melocichla mentalis,,LC,Moustached Grass-warbler,AVES,LC
Acrocephalus schoenobaenus,,LC,Sedge Warbler,AVES,LC
Acrocephalus scirpaceus,,LC,Common Reed-warbler,AVES,LC
Acrocephalus rufescens,,LC,Greater Swamp-warbler,AVES,LC
Hippolais polyglotta,,LC,Melodious Warbler,AVES,LC
Hippolais icterina,,LC,Icterine Warbler,AVES,LC
Iduna natalensis,,LC,African Yellow Warbler,AVES,LC
Phyllolais pulchella,,LC,Buff-bellied Warbler,AVES,LC
Eremomela canescens,,LC,Green-backed Eremomela,AVES,LC
Eremomela badiceps,,LC,Rufous-crowned Eremomela,AVES,LC
Sylvietta virens,,LC,Green Crombec,AVES,LC
Sylvietta denti,,LC,Lemon-bellied Crombec,AVES,LC
Macrosphenus flavicans,,LC,Yellow Longbill,AVES,LC
Macrosphenus concolor,,LC,Grey Longbill,AVES,LC
Hylia prasina,,LC,Green Hylia,AVES,LC
Phylloscopus trochilus,,LC,Willow Warbler,AVES,LC
Phylloscopus sibilatrix,,LC,Wood Warbler,AVES,LC
Hyliota flavigaster,,LC,Yellow-bellied Hyliota,AVES,LC
Hyliota violacea,,LC,Violet-backed Hyliota,AVES,LC
Illadopsis cleaveri,,LC,Black-capped Illadopsis,AVES,LC
Illadopsis albipectus,,LC,Scaly-breasted Illadopsis,AVES,LC
Illadopsis fulvescens,,LC,Brown Illadopsis,AVES,LC
Illadopsis turdina,,LC,Spotted Illadopsis,AVES,LC
Turdoides reinwardtii,,LC,Blackcap Babbler,AVES,LC
Turdoides tenebrosa,,LC,Dusky Babbler,AVES,LC
Turdoides plebejus,,LC,Brown Babbler,AVES,LC
Sylvia borin,,LC,Garden Warbler,AVES,LC
Sylvia communis,,LC,Common Whitethroat,AVES,LC
Mirafra rufocinnamomea,,LC,Flappet Lark,AVES,LC
Pinarocorys erythropygia,,LC,Rufous-rumped Lark,AVES,LC
Eremopterix leucotis,,LC,Chestnut-backed Sparrow-lark,AVES,LC
Galerida cristata,,LC,Crested Lark,AVES,LC
Galerida modesta,,LC,Sun Lark,AVES,LC
Anthreptes longuemarei,,LC,Western Violet-backed Sunbird,AVES,LC
Anthreptes aurantius,,LC,Violet-tailed Sunbird,AVES,LC
Hedydipna collaris,,LC,Collared Sunbird,AVES,LC
Hedydipna platura,,LC,Pygmy Sunbird,AVES,LC
Anthreptes seimundi,,LC,Little Green Sunbird,AVES,LC
Cinnyris batesi,,LC,Bates's Sunbird,AVES,LC
Cyanomitra olivacea,,LC,Olive Sunbird,AVES,LC
Anabathmis reichenbachii,,LC,Reichenbach's Sunbird,AVES,LC
Cyanomitra verticalis,,LC,Green-headed Sunbird,AVES,LC
Cyanomitra cyanolaema,,LC,Blue-throated Brown Sunbird,AVES,LC
Chalcomitra rubescens,,LC,Green-throated Sunbird,AVES,LC
Chalcomitra senegalensis,,LC,Scarlet-chested Sunbird,AVES,LC
Cinnyris venustus,,LC,Variable Sunbird,AVES,LC
Cinnyris bouvieri,,LC,Orange-tufted Sunbird,AVES,LC
Cinnyris osea,,LC,Palestine Sunbird,AVES,LC
Cinnyris reichenowi,,LC,Northern Double-collared Sunbird,AVES,LC
Cinnyris chloropygius,,LC,Olive-bellied Sunbird,AVES,LC
Cinnyris minullus,,LC,Tiny Sunbird,AVES,LC
Cinnyris cupreus,,LC,Copper Sunbird,AVES,LC
Cinnyris coccinigastrus,,LC,Splendid Sunbird,AVES,LC
Cinnyris johannae,,LC,Johanna's Sunbird,AVES,LC
Cinnyris superbus,,LC,Superb Sunbird,AVES,LC
Passer griseus,,LC,Northern Grey-headed Sparrow,AVES,LC
Gymnoris dentata,,LC,Sahel Bush-sparrow,AVES,LC
Motacilla alba,,LC,White Wagtail,AVES,LC
Motacilla aguimp,,LC,African Pied Wagtail,AVES,LC
Motacilla cinerea,,LC,Grey Wagtail,AVES,LC
Motacilla clara,,LC,Mountain Wagtail,AVES,LC
Macronyx croceus,,LC,Yellow-throated Longclaw,AVES,LC
Anthus leucophrys,,LC,Plain-backed Pipit,AVES,LC
Anthus trivialis,,LC,Tree Pipit,AVES,LC
Bubalornis albirostris,,LC,White-billed Buffalo-weaver,AVES,LC
Sporopipes frontalis,,LC,Speckle-fronted Weaver,AVES,LC
Plocepasser superciliosus,,LC,Chestnut-crowned Sparrow-weaver,AVES,LC
Ploceus baglafecht,,LC,Baglafecht Weaver,AVES,LC
Ploceus luteolus,,LC,Little Weaver,AVES,LC
Ploceus intermedius,,LC,Lesser Masked Weaver,AVES,LC
Ploceus ocularis,,LC,Spectacled Weaver,AVES,LC
Ploceus aurantius,,LC,Orange Weaver,AVES,LC
Ploceus heuglini,,LC,Heuglin's Masked Weaver,AVES,LC
Ploceus vitellinus,,LC,Vitelline Masked Weaver,AVES,LC
Ploceus cucullatus,,LC,Village Weaver,AVES,LC
Ploceus melanocephalus,,LC,Black-headed Weaver,AVES,LC
Ploceus tricolor,,LC,Yellow-mantled Weaver,AVES,LC
Ploceus albinucha,,LC,Maxwell's Black Weaver,AVES,LC
Ploceus preussi,,LC,Preuss's Weaver,AVES,LC
Ploceus dorsomaculatus,,LC,Yellow-capped Weaver,AVES,LC
Ploceus superciliosus,,LC,Compact Weaver,AVES,LC
Malimbus coronatus,,LC,Red-crowned Malimbe,AVES,LC
Malimbus cassini,,LC,Cassin's Malimbe,AVES,LC
Malimbus erythrogaster,,LC,Red-bellied Malimbe,AVES,LC
Malimbus nitens,,LC,Blue-billed Malimbe,AVES,LC
Malimbus malimbicus,,LC,Crested Malimbe,AVES,LC
Malimbus rubricollis,,LC,Red-headed Malimbe,AVES,LC
Brachycope anomala,,LC,Bob-tailed Weaver,AVES,LC
Quelea erythrops,,LC,Red-headed Quelea,AVES,LC
Quelea quelea,,LC,Red-billed Quelea,AVES,LC
Euplectes afer,,LC,Yellow-crowned Bishop,AVES,LC
Euplectes gierowii,,LC,Black Bishop,AVES,LC
Euplectes hordeaceus,,LC,Black-winged Bishop,AVES,LC
Euplectes franciscanus,,LC,Northern Red Bishop,AVES,LC
Euplectes axillaris,,LC,Fan-tailed Widowbird,AVES,LC
Euplectes macroura,,LC,Yellow-mantled Widowbird,AVES,LC
Euplectes albonotatus,,LC,White-winged Widowbird,AVES,LC
Amblyospiza albifrons,,LC,Thick-billed Weaver,AVES,LC
Parmoptila woodhousei,,LC,Woodhouse's Antpecker,AVES,LC
Nigrita fusconotus,,LC,White-breasted Nigrita,AVES,LC
Nigrita bicolor,,LC,Chestnut-breasted Nigrita,AVES,LC
Nigrita luteifrons,,LC,Pale-fronted Nigrita,AVES,LC
Nigrita canicapillus,,LC,Grey-headed Nigrita,AVES,LC
Nesocharis capistrata,,LC,Grey-headed Oliveback,AVES,LC
Pytilia melba,,LC,Green-winged Pytilia,AVES,LC
Pytilia hypogrammica,,LC,Yellow-winged Pytilia,AVES,LC
Mandingoa nitidula,,LC,Green Twinspot,AVES,LC
Pyrenestes ostrinus,,LC,Black-bellied Seedcracker,AVES,LC
Spermophaga haematina,,LC,Western Bluebill,AVES,LC
Spermophaga ruficapilla,,LC,Red-headed Bluebill,AVES,LC
Clytospiza monteiri,,LC,Brown Twinspot,AVES,LC
Euschistospiza dybowskii,,LC,Dybowski's Twinspot,AVES,LC
Lagonosticta rufopicta,,LC,Bar-breasted Firefinch,AVES,LC
Lagonosticta senegala,,LC,Red-billed Firefinch,AVES,LC
Lagonosticta rara,,LC,Black-bellied Firefinch,AVES,LC
Uraeginthus bengalus,,LC,Red-cheeked Cordon-bleu,AVES,LC
Estrilda coerulescens,,LC,Lavender Waxbill,AVES,LC
Estrilda paludicola,,LC,Fawn-breasted Waxbill,AVES,LC
Estrilda melpoda,,LC,Orange-cheeked Waxbill,AVES,LC
Estrilda troglodytes,,LC,Black-rumped Waxbill,AVES,LC
Estrilda astrild,,LC,Common Waxbill,AVES,LC
Estrilda nonnula,,LC,Black-crowned Waxbill,AVES,LC
Amandava subflava,,LC,Zebra Waxbill,AVES,LC
Euodice cantans,,LC,African Silverbill,AVES,LC
Spermestes cucullata,,LC,Bronze Mannikin,AVES,LC
Spermestes fringilloides,,LC,Magpie Mannikin,AVES,LC
Vidua chalybeata,,LC,Village Indigobird,AVES,LC
Vidua wilsoni,,LC,Wilson's Indigobird,AVES,LC
Vidua macroura,,LC,Pin-tailed Whydah,AVES,LC
Crithagra leucopygia,,LC,White-rumped Seedeater,AVES,LC
Crithagra mozambica,,LC,Yellow-fronted Canary,AVES,LC
Emberiza flaviventris,,LC,Golden-breasted Bunting,AVES,LC
Emberiza affinis,,LC,Brown-rumped Bunting,AVES,LC
Emberiza cabanisi,,LC,Cabanis's Bunting,AVES,LC
Psittacus erithacus,,EN,Grey Parrot,AVES,EN
Turnix nanus,,LC,Black-rumped Buttonquail,AVES,LC
Ceuthmochares aereus,,LC,Chattering Yellowbill,AVES,LC
Merops viridissimus,,LC,African Green Bee-eater,AVES,LC
Tockus erythrorhynchus,,LC,Red-billed Hornbill,AVES,LC
Horizocerus cassini,,LC,Eastern Long-tailed Hornbill,AVES,LC
Bycanistes sharpii,,LC,Eastern Piping Hornbill,AVES,LC
Trachylaemus purpuratus,,LC,Eastern Yellow-billed Barbet,AVES,LC
Gymnobucco bonapartei,,LC,Grey-throated Barbet,AVES,LC
Gymnobucco cinereiceps,,LC,Grey-headed Barbet,AVES,LC
Lybius leucocephalus,,LC,White-headed Barbet,AVES,LC
Horizocerus hartlaubi,,LC,Western Little Hornbill,AVES,LC
Horizocerus granti,,LC,Eastern Little Hornbill,AVES,LC
Dendropicos elliotii,,LC,Elliot's Woodpecker,AVES,LC
Ciconia microscelis,,LC,African Woollyneck,AVES,LC
Ardea brachyrhyncha,,LC,Yellow-billed Egret,AVES,LC
Accipiter toussenelii,,LC,Red-chested Goshawk,AVES,LC
Falco ruficollis,,LC,Red-necked Falcon,AVES,LC
Himantopus himantopus,,LC,Black-winged Stilt,AVES,LC
Butorides striata,,LC,Green-backed Heron,AVES,LC
Anas crecca,,LC,Common Teal,AVES,LC
Bubo poensis,,LC,Fraser's Eagle-owl,AVES,LC
Caprimulgus pectoralis,,LC,Fiery-necked Nightjar,AVES,LC
Dendropicos gabonensis,,LC,Gabon Woodpecker,AVES,LC
Dendropicos goertae,,LC,Grey Woodpecker,AVES,LC
Lanius collaris,,LC,Common Fiscal,AVES,LC
Chlorophoneus multicolor,,LC,Many-coloured Bush-shrike,AVES,LC
Eremomela pusilla,,LC,Senegal Eremomela,AVES,LC
Terpsiphone rufiventer,,LC,Red-bellied Paradise-flycatcher,AVES,LC
Lagonosticta rubricata,,LC,African Firefinch,AVES,LC
Circaetus beaudouini,,VU,Beaudouin's Snake-eagle,AVES,VU
Batis erlangeri,,LC,Western Black-headed Batis,AVES,LC
Circaetus gallicus,,LC,Short-toed Snake-eagle,AVES,LC
Circaetus pectoralis,,LC,Black-chested Snake-eagle,AVES,LC
Iduna pallida,,LC,Olivaceous Warbler,AVES,LC
Milvus migrans,,LC,Black Kite,AVES,LC
Ixobrychus minutus,,LC,Common Little Bittern,AVES,LC
Rostratula benghalensis,,LC,Greater Painted-snipe,AVES,LC
Corvus albus,,LC,Pied Crow,AVES,LC
Merops muelleri,,LC,Blue-headed Bee-eater,AVES,LC
Buteo rufinus,,LC,Long-legged Buzzard,AVES,LC
Struthio camelus,,LC,Common Ostrich,AVES,LC
Falco peregrinus,,LC,Peregrine Falcon,AVES,LC
Treron calvus,,LC,African Green-pigeon,AVES,LC
Guttera verreauxi,,LC,Western Crested Guineafowl,AVES,LC
Sarkidiornis melanotos,,LC,African Comb Duck,AVES,LC
Hylomyscus walterverheyeni,,LC,Walter Verheyen's Mouse,MAMMALIA,LC
Hyperolius jacobseni,,DD,Jacobsen's Long Reed Frog,AMPHIBIA,DD
Sylvisorex ollula,,LC,Forest Musk Shrew,MAMMALIA,LC
Felis silvestris,,LC,Wild Cat,MAMMALIA,LC
Lophoceros fasciatus,,LC,Congo Pied Hornbill,AVES,LC
Merops variegatus,,LC,Blue-breasted Bee-eater,AVES,LC
Corythornis cristatus,,LC,Malachite Kingfisher,AVES,LC
Buteo buteo,,LC,Eurasian Buzzard,AVES,LC
Bubo cinerascens,,LC,Greyish Eagle-owl,AVES,LC
Ptilopsis leucotis,,LC,Northern White-faced Owl,AVES,LC
Otus senegalensis,,LC,African Scops-owl,AVES,LC
Gallinula chloropus,,LC,Common Moorhen,AVES,LC
Egretta garzetta,,LC,Little Egret,AVES,LC
Ptychadena mascareniensis,,LC,Mascarene Grass Frog,AMPHIBIA,LC
Triaenops persicus,,LC,Persian Trident Bat,MAMMALIA,LC
Triaenops afer,,LC,African Trident Bat,MAMMALIA,LC
Megaloglossus woermanni,,LC,Woermann's Bat,MAMMALIA,LC
Myonycteris torquata,,LC,Little Collared Fruit Bat,MAMMALIA,LC
Scotonycteris zenkeri,,LC,Zenker's Fruit Bat,MAMMALIA,LC
Sclerophrys pusilla,,LC,Merten's Striped Toad,AMPHIBIA,LC
Giraffa camelopardalis ssp. antiquorum,antiquorum,CR,Kordofan Giraffe,MAMMALIA,CR
Cercopithecus pogonias,,NT,Crowned Monkey,MAMMALIA,NT
Lophocebus albigena ssp. albigena,albigena,VU,Gray-cheeked Mangabey,MAMMALIA,VU
Oriolus oriolus,,LC,Eurasian Golden Oriole,AVES,LC
Dyaphorophyia castanea,,LC,Chestnut Wattle-eye,AVES,LC
Dyaphorophyia ansorgei,,LC,Yellow-bellied Wattle-eye,AVES,LC
Dicrurus adsimilis,,LC,Fork-tailed Drongo,AVES,LC
Dicrurus modestus,,LC,Velvet-mantled Drongo,AVES,LC
Terpsiphone rufocinerea,,LC,Rufous-vented Paradise-flycatcher,AVES,LC
Terpsiphone batesi,,LC,Bates's Paradise-flycatcher,AVES,LC
Crithagra canicapilla,,LC,West African Seedeater,AVES,LC
Crithagra gularis,,LC,Streaky-headed Seedeater,AVES,LC
Stiphrornis xanthogaster,,LC,Yellow-breasted Forest-robin,AVES,LC
Sylvietta brachyura,,LC,Northern Crombec,AVES,LC
Emberiza tahapisi,,LC,Cinnamon-breasted Bunting,AVES,LC
Emberiza goslingi,,LC,Grey-throated Bunting,AVES,LC
Apalis flavida,,LC,Yellow-breasted Apalis,AVES,LC
Oenanthe oenanthe,,LC,Northern Wheatear,AVES,LC
Camaroptera brachyura,,LC,Bleating Camaroptera,AVES,LC
Camaroptera chloronota,,LC,Olive-green Camaroptera,AVES,LC
Camaroptera toroensis,,LC,Tawny-breasted Camaroptera,AVES,LC
Cisticola aberrans,,LC,Lazy Cisticola,AVES,LC
Cisticola marginatus,,LC,Winding Cisticola,AVES,LC
Deleornis fraseri,,LC,Fraser's Sunbird,AVES,LC
Anthreptes tephrolaemus,,LC,Grey-chinned Sunbird,AVES,LC
Cinnyris pulchellus,,LC,Beautiful Sunbird,AVES,LC
Euplectes ardens,,LC,Red-collared Widowbird,AVES,LC
Ploceus nigricollis,,LC,Black-necked Weaver,AVES,LC
Delichon urbicum,,LC,Northern House Martin,AVES,LC
Ploceus nigerrimus,,LC,Vieillot's Black Weaver,AVES,LC
Anaplectes leuconotos,,LC,Northern Red-headed Weaver,AVES,LC
Cecropis daurica,,LC,Red-rumped Swallow,AVES,LC
Lagonosticta nigricollis,,LC,Grey Firefinch,AVES,LC
Pytilia phoenicoptera,,LC,Red-winged Pytilia,AVES,LC
Estrilda atricapilla,,LC,Black-headed Waxbill,AVES,LC
Riparia paludicola,,LC,African Plain Martin,AVES,LC
Riparia riparia,,LC,Collared Sand Martin,AVES,LC
Bleda notatus,,LC,Yellow-lored Bristlebill,AVES,LC
Bleda ugandae,,LC,Yellow-eyed Bristlebill,AVES,LC
Atimastillas flavicollis,,LC,Yellow-throated Greenbul,AVES,LC
Atimastillas flavigula,,LC,Pale-throated Greenbul,AVES,LC
Vidua interjecta,,LC,Exclamatory Paradise-whydah,AVES,LC
Vidua orientalis,,LC,Sahel Paradise-whydah,AVES,LC
Phyllastrephus albigularis,,LC,White-throated Greenbul,AVES,LC
Motacilla flava,,LC,Western Yellow Wagtail,AVES,LC
Illadopsis rufipennis,,LC,Pale-breasted Illadopsis,AVES,LC
Phyllanthus bohndorffi,,LC,Grey-caped Capuchin Babbler,AVES,LC
Onychognathus neumanni,,LC,Neumann's Starling,AVES,LC
Stizorhina fraseri,,LC,Rufous Flycatcher-thrush,AVES,LC
Salpornis salvadori,,LC,African Spotted Creeper,AVES,LC
Ptyonoprogne rufigula,,LC,Red-throated Rock Martin,AVES,LC
Laniarius aethiopicus,,LC,Tropical Boubou,AVES,LC
Acrocephalus arundinaceus,,LC,Great Reed-warbler,AVES,LC
Spermestes bicolor,,LC,Black-and-white Mannikin,AVES,LC
Lamprotornis chloropterus,,LC,Lesser Blue-eared Starling,AVES,LC
Cricetomys gambianus,,LC,Gambian Rat,MAMMALIA,LC
Crocidura goliath,,LC,Goliath Shrew,MAMMALIA,LC
Canis lupaster,,LC,African Wolf,MAMMALIA,LC
Phyllastrephus icterinus,,LC,Icterine Greenbul,AVES,LC
Otus scops,,LC,Eurasian Scops-owl,AVES,LC
Cypsiurus parvus,,LC,African Palm-swift,AVES,LC
